Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
3178533,-1864,60,17664,-456,491,103,0.0,0.0,1
3178637,-1832,128,17592,-376,422,116,0.0,0.0,1
3178741,-1888,100,17640,-453,465,98,0.0,0.0,1
3178845,-1836,56,17612,-405,453,112,0.0,0.0,1
3178949,-1864,124,17600,-436,482,105,0.0,0.0,1
3179053,-1880,132,17524,-444,459,126,0.0,0.0,1
3179157,-1844,116,17532,-417,471,120,0.0,0.0,1
3179261,-1880,72,17692,-403,416,130,0.0,0.0,1
3179365,-1924,68,17588,-425,458,142,0.0,0.0,1
3179469,-1856,176,17588,-465,463,107,0.0,0.0,1
3179573,-1872,100,17472,-452,446,138,0.0,0.0,1
3179677,-1920,128,17540,-483,457,121,0.0,0.0,1
3179781,-1880,156,17612,-422,475,134,0.0,0.0,1
3179885,-1908,172,17616,-438,461,97,0.0,0.0,1
3179989,-1872,136,17632,-418,435,100,0.0,0.0,1
3180093,-1700,16,17304,-555,457,102,0.0,0.0,1
3180197,-1864,104,17604,-438,457,152,0.0,0.0,1
3180301,-1876,64,17528,-477,441,121,0.0,0.0,1
3180405,-1988,1592,17848,-393,434,-161,0.0,0.0,1
3180509,-1472,2036,16548,-360,858,217,0.0,0.0,1
3180613,-1156,448,17212,-280,610,-700,0.0,5.2,0
3180717,-1112,-224,16956,-461,226,139,0.0,10.4,0
3180821,-1096,588,17060,-487,609,1399,0.0,15.600000000000001,0
3180925,-2024,-520,18536,-239,126,-1179,0.0,20.8,0
3181029,-1708,-1300,17528,-357,523,-758,0.0,26.0,0
3181133,-1804,-196,17584,-463,496,458,0.0,31.2,0
3181237,-1856,76,17492,-422,445,97,0.0,36.4,0
3181341,-1832,72,17584,-435,457,116,0.0,41.6,0
3181445,-1900,-32,17648,-417,455,121,0.0,46.800000000000004,0
3181549,-1796,128,17680,-548,462,91,0.0,46.800000000000004,1
3181653,-1844,52,17580,-351,421,112,0.0,46.800000000000004,1
3181757,-1844,12,17656,-377,486,117,0.0,46.800000000000004,1
3181861,-1804,72,17508,-459,518,111,0.0,46.800000000000004,1
3181965,-2052,8,17584,-448,525,127,0.0,46.800000000000004,1
3182069,-1828,84,17600,-420,440,98,0.0,46.800000000000004,1
3182173,-1784,84,17564,-454,489,119,0.0,46.800000000000004,1
3182277,-1844,36,17584,-430,469,115,0.0,46.800000000000004,1
3182381,-1860,76,17580,-401,415,109,0.0,46.800000000000004,1
3182485,-1848,104,17500,-448,473,124,0.0,46.800000000000004,1
3182589,-1224,-392,17368,-416,532,-316,0.0,46.800000000000004,1
3182693,-1848,-332,17268,-349,773,-612,0.0,46.800000000000004,1
3182797,-2308,-1092,17384,-545,534,1038,0.0,41.6,0
3182901,-1636,-748,17740,-632,364,1819,0.0,36.4,0
3183005,-1508,300,17772,-557,669,1515,0.0,31.2,0
3183109,-1988,-344,17644,-521,627,773,0.0,26.0,0
3183213,-2236,8,17816,-416,383,-221,0.0,20.8,0
3183317,-744,1444,17468,-270,738,-1773,0.0,15.600000000000001,0
3183421,-2688,1212,17416,-607,474,1384,0.0,10.400000000000002,0
3183525,-1920,360,17452,-615,662,1314,0.0,5.200000000000002,0
3183629,-1568,-732,17620,-584,482,1396,0.0,1.7763568394002505e-15,0
3183733,-2844,584,18988,-497,-41,411,0.0,-5.199999999999998,0
3183837,-1884,312,17824,-444,345,324,0.0,-10.399999999999999,0
3183941,-1684,252,17244,-496,461,585,0.0,-15.599999999999998,0
