Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
3416277,-2200,180,17592,-413,469,122,0.0,0.0,1
3416381,-2104,132,17540,-445,425,116,0.0,0.0,1
3416485,-2160,116,17536,-450,461,115,0.0,0.0,1
3416589,-2156,200,17576,-445,428,117,0.0,0.0,1
3416693,-2196,212,17608,-433,470,134,0.0,0.0,1
3416797,-2268,196,17396,-532,78,116,0.0,0.0,1
3416901,-1812,148,17600,-454,371,96,0.0,0.0,1
3417005,-1804,172,17568,-462,421,109,0.0,0.0,1
3417109,-1760,120,17500,-470,444,144,0.0,0.0,1
3417213,-1808,136,17608,-449,484,137,0.0,0.0,1
3417317,-2696,-4048,17760,-788,484,3521,0.0,-5.2,0
3417421,-200,-608,17336,-747,872,2647,0.0,-10.4,0
3417525,-832,1188,16944,-259,734,-1522,0.0,-15.600000000000001,0
3417629,-1360,1416,16856,-223,1243,-1763,0.0,-20.8,0
3417733,-1932,964,17416,-435,526,-227,0.0,-26.0,0
3417837,-1628,756,17668,-460,543,377,0.0,-31.2,0
3417941,-1164,100,17488,-549,549,1132,0.0,-36.4,0
3418045,-1768,128,17760,-505,458,709,0.0,-41.6,0
3418149,-1904,-112,17592,-471,474,385,0.0,-46.800000000000004,0
3418253,-2216,184,17640,-383,375,-202,0.0,-52.00000000000001,0
3418357,-1916,64,17620,-456,413,195,0.0,-57.20000000000001,0
3418461,-1708,380,17764,-437,476,293,0.0,-62.40000000000001,0
3418565,-1904,-116,17480,-407,508,-35,0.0,-67.60000000000001,0
3418669,-1120,-660,17548,-364,560,-278,0.0,-72.80000000000001,0
3418773,-2912,628,18044,-593,190,1356,0.0,-78.00000000000001,0
3418877,-2324,128,18136,-453,500,-59,0.0,-83.20000000000002,0
3418981,-1796,104,17540,-431,428,129,0.0,-88.40000000000002,0
3419085,-1792,96,17676,-453,427,143,0.0,-93.60000000000002,0
3419189,-1776,80,17588,-439,455,101,0.0,-98.80000000000003,0
3419293,-1768,104,17648,-418,491,123,0.0,-104.00000000000003,0
3419397,-1728,72,17572,-432,402,123,0.0,-109.20000000000003,0
3419501,-1492,96,17444,-415,573,112,0.0,-114.40000000000003,0
3419605,-1800,136,17584,-389,476,106,0.0,-119.60000000000004,0
3419709,-1756,116,17564,-441,512,138,0.0,-124.80000000000004,0
3419813,-1888,108,17616,-439,407,126,0.0,-130.00000000000003,0
3419917,-1788,96,17600,-421,439,149,0.0,-135.20000000000002,0
3420021,-1752,88,17632,-437,434,72,0.0,-140.4,0
3420125,-1720,120,17568,-428,415,133,0.0,-145.6,0
3420229,-1748,76,17588,-451,459,98,0.0,-150.79999999999998,0
3420333,-1772,152,17540,-449,434,109,0.0,-155.99999999999997,0
3420437,-1756,128,17688,-468,436,141,0.0,-161.19999999999996,0
3420541,-1828,88,17636,-437,427,111,0.0,-161.19999999999996,1
3420645,-1748,24,17588,-432,462,121,0.0,-161.19999999999996,1
3420749,-1780,100,17592,-441,428,113,0.0,-161.19999999999996,1
3420853,-1768,40,17588,-436,460,111,0.0,-161.19999999999996,1
3420957,-1844,152,17588,-397,456,121,0.0,-161.19999999999996,1
3421061,-1732,108,17556,-427,465,130,0.0,-161.19999999999996,1
3421165,-1776,120,17632,-406,424,120,0.0,-161.19999999999996,1
3421269,-1784,52,17596,-427,462,151,0.0,-161.19999999999996,1
3421373,-1788,112,17620,-461,448,104,0.0,-161.19999999999996,1
3421477,-1768,88,17696,-439,451,137,0.0,-161.19999999999996,1
3421581,-1816,68,17620,-412,491,120,0.0,-161.19999999999996,1
3421685,-1780,120,17524,-418,472,121,0.0,-161.19999999999996,1
3421789,-1792,120,17592,-443,472,112,0.0,-161.19999999999996,1
3421893,-1732,140,17580,-424,433,133,0.0,-161.19999999999996,1
3421997,-1788,104,17600,-459,475,108,0.0,-161.19999999999996,1
3422101,-1100,1552,17416,-562,611,1289,0.0,-155.99999999999997,0
3422205,-1836,1776,17192,-412,253,401,0.0,-150.79999999999998,0
3422309,-1004,1104,17392,-511,515,984,0.0,-145.6,0
3422413,-2796,800,19212,-430,-462,-332,0.0,-140.4,0
3422517,-1244,-24,17648,-234,552,-1733,0.0,-135.20000000000002,0
3422621,-1296,-720,17512,-343,685,-564,0.0,-130.00000000000003,0
3422725,-1472,152,17584,-545,488,929,0.0,-124.80000000000003,0
3422829,-1456,-672,17192,-454,672,197,0.0,-119.60000000000002,0
