Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
2452277,-1924,136,17536,-430,439,123,0.0,0.0,1
2452381,-1896,132,17548,-449,462,119,0.0,0.0,1
2452485,-1876,132,17508,-449,441,155,0.0,0.0,1
2452589,-1932,184,17592,-431,457,142,0.0,0.0,1
2452693,-1912,132,17580,-434,463,103,0.0,0.0,1
2452797,-1944,88,17536,-430,439,124,0.0,0.0,1
2452901,-1888,168,17536,-461,445,106,0.0,0.0,1
2453005,-1912,144,17532,-461,452,119,0.0,0.0,1
2453109,-1936,60,17528,-457,458,102,0.0,0.0,1
2453213,-1924,188,17600,-445,427,109,0.0,0.0,1
2453317,-1944,152,17624,-454,457,99,0.0,0.0,1
2453421,-1936,152,17596,-424,460,129,0.0,0.0,1
2453525,-1948,180,17532,-439,436,150,0.0,0.0,1
2453629,-1960,176,17460,-400,462,121,0.0,0.0,1
2453733,-1916,156,17608,-430,438,145,0.0,0.0,1
2453837,-1920,152,17536,-447,431,151,0.0,0.0,1
2453941,-1964,120,17648,-435,422,140,0.0,0.0,1
2454045,-1908,148,17576,-437,473,134,0.0,0.0,1
2454149,-1972,60,17664,-445,487,115,0.0,0.0,1
2454253,-1976,104,17668,-485,441,83,0.0,0.0,1
2454357,-1940,88,17608,-428,437,107,0.0,0.0,1
2454461,-1908,96,17640,-497,428,118,0.0,0.0,1
2454565,-1932,164,17584,-442,413,141,0.0,0.0,1
2454669,-3264,1668,18160,-249,510,-1686,-3.6769552621700465,3.6769552621700465,0
2454773,-3056,-20,17472,-232,145,-1277,-7.353910524340093,7.353910524340093,0
2454877,-1464,-1208,18032,-275,592,-1233,-11.03086578651014,11.03086578651014,0
2454981,-1676,-2052,17632,-346,556,-636,-14.707821048680186,14.707821048680186,0
2455085,-1856,80,17648,-452,444,99,-18.38477631085023,18.38477631085023,0
2455189,-1896,96,17572,-451,420,104,-22.06173157302028,22.06173157302028,0
2455293,-1908,72,17624,-428,469,130,-25.738686835190325,25.738686835190325,0
2455397,-1944,96,17588,-430,425,140,-29.415642097360372,29.415642097360372,0
2455501,-1948,132,17552,-433,445,74,-29.415642097360372,29.415642097360372,1
2455605,-2016,132,17580,-461,484,129,-29.415642097360372,29.415642097360372,1
2455709,-1988,64,17636,-446,462,124,-29.415642097360372,29.415642097360372,1
2455813,-1992,152,17644,-438,457,114,-29.415642097360372,29.415642097360372,1
2455917,-1964,140,17608,-423,415,144,-29.415642097360372,29.415642097360372,1
2456021,-1896,188,17612,-420,436,109,-29.415642097360372,29.415642097360372,1
2456125,-1920,132,17632,-444,454,114,-29.415642097360372,29.415642097360372,1
2456229,-1924,136,17568,-440,454,101,-29.415642097360372,29.415642097360372,1
2456333,-1892,108,17612,-455,445,123,-29.415642097360372,29.415642097360372,1
2456437,-1948,76,17616,-454,448,108,-29.415642097360372,29.415642097360372,1
2456541,-1892,48,17608,-424,500,128,-29.415642097360372,29.415642097360372,1
2456645,-2192,-2572,17424,-377,470,-502,-29.415642097360372,24.215642097360373,0
2456749,-2104,-3712,17296,-714,634,2299,-29.415642097360372,19.015642097360374,0
2456853,-2884,40,17508,-133,387,-1573,-29.415642097360372,13.815642097360374,0
2456957,-828,4072,17700,-848,550,3412,-29.415642097360372,8.615642097360375,0
2457061,-1896,1476,17532,322,544,-6666,-29.415642097360372,3.415642097360375,0
2457165,-1980,360,17700,-578,419,1087,-29.415642097360372,-1.7843579026396252,0
2457269,-1956,72,17568,-404,459,116,-29.415642097360372,-6.984357902639625,0
