Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
2538829,-1924,84,17596,-429,435,102,0.0,0.0,1
2538933,-1944,76,17676,-413,456,130,0.0,0.0,1
2539037,-1924,116,17596,-447,452,113,0.0,0.0,1
2539141,-1904,96,17540,-402,446,130,0.0,0.0,1
2539245,-1964,56,17624,-434,436,88,0.0,0.0,1
2539349,-1912,108,17568,-441,437,122,0.0,0.0,1
2539453,-1968,148,17656,-516,462,90,0.0,0.0,1
2539557,-1956,184,17576,-446,466,134,0.0,0.0,1
2539661,-1952,152,17672,-458,466,111,0.0,0.0,1
2539765,-1916,132,17640,-401,440,129,0.0,0.0,1
2539869,-1852,-4,17412,-612,622,89,0.0,0.0,1
2539973,-1872,304,18048,-1312,376,7672,0.0,0.0,1
2540077,-1604,132,17168,-786,747,3123,0.0,0.0,1
2540181,-2768,-884,17464,-491,411,640,0.0,-5.2,0
2540285,-1944,108,17560,-424,467,147,0.0,-10.4,0
2540389,-1980,108,17640,-415,429,161,0.0,-15.600000000000001,0
2540493,-1708,188,17600,-477,430,288,0.0,-20.8,0
2540597,-1856,132,17632,-524,425,617,0.0,-26.0,0
2540701,-2044,68,17580,-469,437,445,0.0,-26.0,1
2540805,-1980,92,17596,-443,428,130,0.0,-26.0,1
2540909,-1872,88,17600,-464,437,129,0.0,-26.0,1
2541013,-1900,116,17496,-410,444,122,0.0,-26.0,1
2541117,-1928,4,17556,-445,468,112,0.0,-26.0,1
2541221,-1968,124,17588,-433,422,115,0.0,-26.0,1
2541325,-1844,80,17648,-420,433,130,0.0,-26.0,1
2541429,-1476,1248,17580,-865,522,3666,0.0,-20.8,0
2541533,-2136,1712,17716,-676,299,2228,0.0,-15.600000000000001,0
2541637,-888,1508,17032,-335,724,-718,0.0,-10.400000000000002,0
2541741,-604,-560,17108,-693,755,2226,0.0,-5.200000000000002,0
2541845,-1332,-472,17260,-335,565,-255,0.0,-1.7763568394002505e-15,0
2541949,-1480,-512,17332,-522,577,1222,0.0,5.199999999999998,0
2542053,-3208,-1424,18128,-646,216,1606,0.0,10.399999999999999,0
2542157,-1868,16,17872,-506,372,758,0.0,15.599999999999998,0
2542261,-2180,-808,17708,-482,440,618,0.0,20.799999999999997,0
2542365,-1912,84,17628,-457,431,83,0.0,25.999999999999996,0
2542469,-1916,116,17608,-434,469,142,0.0,31.199999999999996,0
2542573,-1916,120,17460,-451,424,131,0.0,36.4,0
2542677,-1964,152,17640,-450,454,81,0.0,41.6,0
2542781,-1900,144,17528,-430,448,140,0.0,41.6,1
2542885,-1872,208,17612,-437,446,97,0.0,41.6,1
2542989,-1896,100,17616,-407,462,103,0.0,41.6,1
2543093,-1900,60,17664,-434,483,129,0.0,41.6,1
2543197,-1996,72,17652,-435,431,125,0.0,41.6,1
2543301,-1916,100,17580,-455,457,137,0.0,41.6,1
2543405,-1868,56,17704,-409,454,129,0.0,41.6,1
2543509,-1212,-1148,17640,-705,395,2324,0.0,36.4,0
2543613,-2792,-1104,17544,-379,610,144,0.0,31.2,0
2543717,-1432,-520,17748,-528,186,529,0.0,26.0,0
2543821,-460,100,17196,-586,820,820,0.0,20.8,0
2543925,-1500,-984,17096,-568,551,902,0.0,15.600000000000001,0
2544029,-2408,1140,18176,-606,315,1326,0.0,10.400000000000002,0
2544133,-1784,1640,17780,-692,679,1687,0.0,5.200000000000002,0
2544237,-1228,1176,17176,-438,656,284,0.0,1.7763568394002505e-15,0
2544341,-1544,1428,17600,-296,604,-988,0.0,-5.199999999999998,0
2544445,-2024,308,17504,-520,432,1129,0.0,-10.399999999999999,0
2544549,-1940,84,17680,-438,442,111,0.0,-15.599999999999998,0
2544653,-1908,80,17644,-420,419,116,0.0,-20.799999999999997,0
2544757,-1912,112,17584,-458,478,100,0.0,-25.999999999999996,0
2544861,-1876,88,17664,-451,434,88,0.0,-25.999999999999996,1
2544965,-1948,112,17572,-426,437,93,0.0,-25.999999999999996,1
2545069,-1964,88,17624,-458,450,102,0.0,-25.999999999999996,1
2545173,-1900,84,17528,-446,468,132,0.0,-25.999999999999996,1
2545277,-1884,116,17576,-423,460,97,0.0,-25.999999999999996,1
2545381,-1956,96,17544,-472,456,126,0.0,-25.999999999999996,1
2545485,-1988,516,17672,-458,466,42,0.0,-25.999999999999996,1
2545589,-1992,964,17444,-142,479,-2242,0.0,-20.799999999999997,0
2545693,-1548,516,17432,-495,416,1279,0.0,-15.599999999999998,0
2545797,-2416,-696,17268,-582,547,1634,0.0,-10.399999999999999,0
2545901,-1392,-1324,17316,-235,603,-1903,0.0,-5.199999999999998,0
2546005,-2032,-1672,17576,-431,332,-47,0.0,1.7763568394002505e-15,0
2546109,-1892,-420,17576,-459,452,157,0.0,5.200000000000002,0
2546213,-1928,92,17564,-430,434,89,0.0,10.400000000000002,0
2546317,-1896,124,17660,-428,450,118,0.0,15.600000000000001,0
2546421,-1900,68,17540,-398,427,122,0.0,20.8,0
2546525,-1896,68,17644,-431,462,130,0.0,26.0,0
2546629,-1912,132,17552,-430,463,122,0.0,26.0,1
2546733,-1908,172,17628,-423,448,142,0.0,26.0,1
2546837,-1928,112,17504,-422,429,138,0.0,26.0,1
2546941,-1920,84,17616,-419,464,137,0.0,26.0,1
2547045,-1904,88,17540,-416,474,92,0.0,26.0,1
2547149,1196,816,18020,-355,491,-625,5.2,26.0,0
2547253,-1096,576,18160,-293,412,-872,10.4,26.0,0
2547357,-2228,-20,16836,-511,355,1135,15.600000000000001,26.0,0
2547461,-3096,128,17776,-415,553,647,20.8,26.0,0
2547565,-2556,-104,16432,-456,1011,430,26.0,26.0,0
2547669,-2512,-208,17636,-493,363,617,31.2,26.0,0
2547773,-2720,192,17992,-551,289,687,36.4,26.0,0
2547877,-2388,-120,17340,-429,427,134,41.6,26.0,0
2547981,-1972,148,17540,-418,441,122,46.800000000000004,26.0,0
2548085,-1936,124,17528,-423,492,137,52.00000000000001,26.0,0
2548189,-1860,176,17564,-439,438,116,57.20000000000001,26.0,0
2548293,-1836,124,17572,-454,446,88,62.40000000000001,26.0,0
2548397,-1928,128,17488,-423,456,104,62.40000000000001,26.0,1
2548501,-1888,108,17564,-467,438,123,62.40000000000001,26.0,1
2548605,-1884,140,17560,-422,431,128,62.40000000000001,26.0,1
2548709,-1792,100,17664,-407,468,143,62.40000000000001,26.0,1
2548813,-1904,128,17632,-446,425,116,62.40000000000001,26.0,1
2548917,-1860,108,17504,-435,433,127,62.40000000000001,26.0,1
2549021,-1248,612,16860,-327,937,-591,67.60000000000001,26.0,0
2549125,-2220,552,17080,-99,980,-3231,72.80000000000001,26.0,0
2549229,-516,800,17084,-96,183,-2676,78.00000000000001,26.0,0
2549333,404,896,17964,-244,260,-1546,83.20000000000002,26.0,0
2549437,-884,168,18076,-243,390,-1629,88.40000000000002,26.0,0
2549541,-644,448,17140,-369,687,-438,93.60000000000002,26.0,0
2549645,-512,496,17592,-258,316,-1278,98.80000000000003,26.0,0
2549749,-780,368,17676,-338,211,-831,104.00000000000003,26.0,0
2549853,-1908,108,17612,-426,465,75,109.20000000000003,26.0,0
2549957,-1876,220,17592,-423,465,124,114.40000000000003,26.0,0
2550061,-1936,96,17600,-468,482,126,119.60000000000004,26.0,0
2550165,-1904,64,17576,-410,442,107,124.80000000000004,26.0,0
2550269,-1904,136,17588,-452,451,132,124.80000000000004,26.0,1
2550373,-1996,116,17596,-423,465,135,124.80000000000004,26.0,1
2550477,-1908,84,17536,-429,449,90,124.80000000000004,26.0,1
