Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
3106253,-1832,188,17580,-442,445,136,0.0,0.0,1
3106357,-1832,48,17640,-459,448,119,0.0,0.0,1
3106461,-1852,24,17572,-468,465,127,0.0,0.0,1
3106565,-1832,52,17660,-415,459,164,0.0,0.0,1
3106669,-1848,140,17568,-427,460,83,0.0,0.0,1
3106773,-1932,80,17560,-466,486,96,0.0,0.0,1
3106877,-1868,24,17608,-428,472,101,0.0,0.0,1
3106981,-1828,68,17600,-423,463,108,0.0,0.0,1
3107085,-1844,108,17544,-444,468,115,0.0,0.0,1
3107189,-1936,132,17544,-437,460,124,0.0,0.0,1
3107293,-1872,32,17628,-417,446,107,0.0,0.0,1
3107397,-1860,80,17552,-454,480,110,0.0,0.0,1
3107501,-1944,108,17564,-470,451,114,0.0,0.0,1
