Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
317553,-1864,100,17568,-421,462,110,0.0,0.0,1
317657,-1876,192,17592,-442,466,119,0.0,0.0,1
317761,-1896,124,17560,-477,449,104,0.0,0.0,1
317865,-1844,116,17564,-428,437,129,0.0,0.0,1
317969,-1888,116,17548,-426,430,113,0.0,0.0,1
318073,-1868,120,17636,-439,466,132,0.0,0.0,1
318177,-1884,104,17568,-465,457,118,0.0,0.0,1
318281,-1852,76,17580,-430,419,115,0.0,0.0,1
318385,-1876,120,17620,-427,441,121,0.0,0.0,1
318489,-1900,136,17616,-450,474,124,0.0,0.0,1
318593,-1828,152,17496,-444,466,124,0.0,0.0,1
318697,-1880,72,17596,-457,475,98,0.0,0.0,1
318801,-1812,140,17540,-417,468,127,0.0,0.0,1
318905,-1888,144,17632,-417,434,110,0.0,0.0,1
319009,-1828,56,17616,-448,442,123,0.0,0.0,1
319113,-1868,72,17576,-421,468,113,0.0,0.0,1
319217,-1908,92,17544,-443,455,104,0.0,0.0,1
319321,-1876,128,17568,-410,458,123,0.0,0.0,1
319425,-1868,132,17632,-419,441,124,0.0,0.0,1
319529,-1920,92,17572,-418,457,104,0.0,0.0,1
319633,-1800,124,17596,-446,471,109,0.0,0.0,1
319737,-1804,116,17648,-442,438,149,0.0,0.0,1
319841,-1840,56,17560,-421,458,105,0.0,0.0,1
319945,-1860,68,17576,-415,449,105,0.0,0.0,1
320049,-1852,48,17472,-416,462,145,0.0,0.0,1
320153,-1864,124,17716,-437,453,146,0.0,0.0,1
320257,-1840,160,17620,-461,454,127,0.0,0.0,1
320361,-1880,124,17576,-424,429,117,0.0,0.0,1
320465,-1800,88,17676,-452,423,114,0.0,0.0,1
320569,-1888,88,17592,-417,459,129,0.0,0.0,1
320673,-1840,176,17572,-428,431,106,0.0,0.0,1
320777,-1808,88,17536,-459,426,106,0.0,0.0,1
320881,-1864,104,17568,-432,459,126,0.0,0.0,1
320985,-1864,96,17676,-461,451,95,0.0,0.0,1
321089,-1864,60,17592,-519,397,98,0.0,0.0,1
321193,-1844,-4,17576,-469,461,88,0.0,0.0,1
321297,-1808,60,17508,-411,461,120,0.0,0.0,1
321401,-1880,64,17612,-447,508,103,0.0,0.0,1
321505,-2136,-588,17100,-410,626,369,0.0,5.2,0
321609,-700,400,17712,-521,107,1547,0.0,10.4,0
321713,-4844,-636,17204,-282,394,-1277,0.0,15.600000000000001,0
321817,-600,380,16640,-585,786,1081,0.0,20.8,0
321921,-1828,512,17268,-360,714,-622,0.0,26.0,0
322025,-4008,100,18036,-525,164,1012,0.0,31.2,0
322129,-1604,-156,17556,-471,502,966,0.0,36.4,0
322233,-1600,40,17388,-436,478,113,0.0,41.6,0
322337,-1720,48,17560,-372,537,72,0.0,46.800000000000004,0
322441,-1804,152,17516,-394,450,115,0.0,52.00000000000001,0
322545,-1804,148,17588,-408,430,128,0.0,57.20000000000001,0
322649,-1860,116,17604,-444,464,116,0.0,62.40000000000001,0
322753,-1884,76,17704,-416,451,134,0.0,67.60000000000001,0
322857,-1760,92,17552,-425,497,101,0.0,72.80000000000001,0
322961,-1924,112,17688,-430,458,67,0.0,78.00000000000001,0
323065,-1880,112,17640,-432,442,146,0.0,78.00000000000001,1
323169,-1820,84,17636,-450,436,108,0.0,78.00000000000001,1
323273,-1860,112,17704,-407,451,108,0.0,78.00000000000001,1
323377,-1820,64,17568,-448,446,122,0.0,78.00000000000001,1
323481,-1848,116,17600,-405,448,113,0.0,78.00000000000001,1
323585,-8476,-800,16992,-587,224,1590,0.0,83.20000000000002,0
323689,-1524,672,16696,253,489,-5857,0.0,88.40000000000002,0
323793,752,248,17852,-140,-44,-2104,0.0,93.60000000000002,0
323897,316,-188,17132,-303,695,-1297,0.0,98.80000000000003,0
324001,-168,340,17832,-493,439,748,0.0,104.00000000000003,0
324105,-1716,152,17596,-447,463,23,0.0,109.20000000000003,0
324209,-2040,84,17784,-415,382,109,0.0,114.40000000000003,0
324313,-1712,4,17640,-472,530,90,0.0,119.60000000000004,0
324417,-108,1396,17236,-154,3039,1866,0.0,124.80000000000004,0
324521,-3896,-176,17480,4964,-179,4001,0.0,130.00000000000003,0
324625,1312,-264,16988,-3022,-11029,-2445,0.0,135.20000000000002,0
324729,-1896,-52,17704,-455,310,34,0.0,140.4,0
324833,-1856,148,17680,-411,411,100,0.0,145.6,0
