Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
3085037,-1668,104,17636,-437,445,127,0.0,0.0,1
3085141,-1720,144,17704,-466,435,114,0.0,0.0,1
3085245,-1728,104,17732,-426,485,151,0.0,0.0,1
3085349,-1748,80,17628,-431,453,104,0.0,0.0,1
3085453,-1732,100,17640,-441,448,122,0.0,0.0,1
3085557,-1712,68,17628,-429,433,120,0.0,0.0,1
3085661,-1756,88,17576,-454,446,111,0.0,0.0,1
3085765,-1732,176,17628,-437,474,113,0.0,0.0,1
3085869,-1696,184,17528,-401,458,94,0.0,0.0,1
3085973,-1728,108,17692,-414,473,124,0.0,0.0,1
3086077,-1752,84,17692,-414,454,100,0.0,0.0,1
3086181,-1780,104,17700,-436,440,114,0.0,0.0,1
3086285,-1656,84,17544,-438,451,113,0.0,0.0,1
3086389,-1712,112,17644,-468,450,123,0.0,0.0,1
3086493,-1696,164,17588,-471,461,107,0.0,0.0,1
3086597,-1060,1464,16152,-510,1159,203,0.0,0.0,1
3086701,-1724,48,17500,-451,474,127,0.0,0.0,1
3086805,-1716,100,17596,-488,447,111,0.0,0.0,1
3086909,-1700,96,17664,-445,470,97,0.0,0.0,1
3087013,-1700,28,17596,-434,451,141,0.0,0.0,1
3087117,-1736,60,17540,-443,448,125,0.0,0.0,1
3087221,-1452,-752,18100,-608,462,1619,0.0,0.0,1
3087325,-2584,-1868,16996,-316,683,-777,0.0,0.0,1
3087429,-1652,-332,18336,-596,85,1075,0.0,0.0,1
3087533,-1464,584,17812,-277,352,-1523,0.0,0.0,1
3087637,-1440,-132,17372,-253,509,-2124,0.0,0.0,1
3087741,-1664,-156,17708,-389,395,-243,0.0,0.0,1
3087845,-1236,408,17532,-451,467,417,0.0,0.0,1
3087949,-1648,200,17804,-602,406,1401,0.0,0.0,1
3088053,-1664,120,17652,-490,387,597,0.0,0.0,1
3088157,-1920,268,17692,-451,453,297,0.0,0.0,1
3088261,-1800,384,17856,-368,354,-411,0.0,0.0,1
3088365,-1992,224,17748,-605,342,1565,0.0,0.0,1
3088469,-1852,52,17468,-499,466,649,0.0,0.0,1
