Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
577449,-1504,112,17676,-427,486,122,0.0,0.0,1
577553,-1536,128,17692,-424,466,107,0.0,0.0,1
577657,-1488,96,17664,-444,482,143,0.0,0.0,1
577761,-1436,44,17536,-409,469,111,-5.2,0.0,0
577865,-1388,32,17536,-416,504,108,-10.4,0.0,0
577969,-1512,56,17696,-436,418,91,-15.600000000000001,0.0,0
578073,-1532,104,17528,-414,429,70,-20.8,0.0,0
578177,-1448,140,17612,-452,458,102,-26.0,0.0,0
578281,-1544,56,17664,-454,454,111,-31.2,0.0,0
578385,-1456,104,17656,-430,457,100,-36.4,0.0,0
578489,-1460,44,17652,-456,457,112,-41.6,0.0,0
578593,-1492,100,17604,-438,453,105,-46.800000000000004,0.0,0
578697,-1472,60,17604,-409,445,121,-52.00000000000001,0.0,0
578801,-1464,128,17612,-430,471,192,-57.20000000000001,0.0,0
578905,-1444,136,17740,-443,461,108,-62.40000000000001,0.0,0
579009,-1472,80,17600,-414,444,132,-67.60000000000001,0.0,0
579113,-1520,96,17600,-451,413,124,-72.80000000000001,0.0,0
579217,-1488,72,17572,-421,434,135,-78.00000000000001,0.0,0
579321,-1444,140,17552,-438,442,118,-83.20000000000002,0.0,0
579425,-1452,124,17628,-424,461,111,-88.40000000000002,0.0,0
579529,-1468,52,17620,-386,446,110,-93.60000000000002,0.0,0
579633,-1452,92,17748,-426,472,77,-98.80000000000003,0.0,0
579737,-1472,84,17648,-402,449,131,-104.00000000000003,0.0,0
579841,-1432,100,17728,-403,457,132,-109.20000000000003,0.0,0
579945,-1548,152,17632,-438,418,144,-114.40000000000003,0.0,0
580049,-1460,60,17608,-423,451,140,-119.60000000000004,0.0,0
