Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
2713653,-1864,144,17572,-436,464,117,0.0,0.0,1
2713757,-1912,136,17556,-454,417,112,0.0,0.0,1
2713861,-1892,76,17540,-430,453,85,0.0,0.0,1
2713965,-1848,40,17616,-435,437,119,0.0,0.0,1
2714069,-1816,124,17628,-450,468,137,0.0,0.0,1
2714173,-1872,104,17644,-442,473,125,0.0,0.0,1
2714277,-1840,156,17612,-442,441,96,0.0,0.0,1
2714381,-1812,176,17636,-417,443,84,0.0,0.0,1
2714485,-1860,184,17652,-437,475,142,0.0,0.0,1
2714589,-1844,124,17712,-387,478,112,0.0,0.0,1
2714693,-1780,60,17472,-444,454,112,0.0,0.0,1
2714797,-1840,136,17632,-407,439,128,0.0,0.0,1
2714901,-1832,152,17684,-429,451,125,0.0,0.0,1
2715005,-1868,108,17636,-472,467,143,0.0,0.0,1
2715109,-1888,148,17572,-406,449,106,0.0,0.0,1
2715213,-1824,116,17672,-424,442,96,0.0,0.0,1
2715317,-1908,140,17608,-422,447,129,0.0,0.0,1
2715421,-1812,176,17552,-420,464,132,0.0,0.0,1
2715525,-1848,96,17592,-440,534,119,0.0,0.0,1
2715629,-1948,92,17608,-444,429,138,0.0,0.0,1
2715733,-1940,152,17564,-443,468,110,0.0,0.0,1
2715837,-1856,152,17616,-452,467,109,0.0,0.0,1
2715941,-1872,100,17544,-422,416,109,0.0,0.0,1
2716045,-1908,220,17624,-431,434,87,0.0,0.0,1
2716149,-1840,148,17508,-473,444,126,0.0,0.0,1
2716253,-1808,64,17624,-475,453,89,0.0,0.0,1
2716357,-1908,136,17600,-438,465,105,0.0,0.0,1
2716461,-1860,180,17612,-426,457,122,0.0,0.0,1
2716565,-1896,24,17596,-435,451,125,0.0,0.0,1
2716669,-1856,200,17496,-454,441,115,0.0,0.0,1
2716773,-1924,116,17484,-440,445,141,0.0,0.0,1
2716877,-1832,176,17488,-462,484,108,0.0,0.0,1
2716981,-1872,140,17588,-441,406,99,0.0,0.0,1
2717085,-1888,88,17656,-444,474,120,0.0,0.0,1
2717189,-1864,168,17560,-412,454,111,0.0,0.0,1
2717293,-1908,92,17632,-427,439,100,0.0,0.0,1
